city,device,os,region,source
Culiacán,Android,Chrome Mobile 101,Sinaloa,adwords
Agricola Oriental Sur,Windows,Chrome 102,Mexico City,adwords
Chalco,Android,Chrome Mobile 102,México,adwords
Ixtapaluca,Android,Chrome Mobile 102,México,adwords
Mexico City,Android,Chrome Mobile 102,Mexico City,adwords
Zapopan,Apple iPhone,Mobile Safari 14,Jalisco,adwords
Tultitlan de Mariano Escobedo,Android,Chrome Mobile 102,México,adwords
Tuxtla Gutiérrez,Apple iPhone,GSA 213,Chiapas,adwords
Iztapalapa,Android,Chrome Mobile 102,Mexico City,adwords
Gustavo Adolfo Madero,Android,Chrome Mobile 97,Mexico City,adwords
Veracruz,Android,Chrome Mobile 102,Veracruz,adwords
Toluca,Android,Chrome Mobile 102,México,google2
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,Sin info
Cancún,Android,Chrome Mobile 102,Quintana Roo,adwords
Tlalnepantla,Android,Chrome Mobile 102,México,adwords
Puebla City,Android,Chrome Mobile 101,Puebla,adwords
Venustiano Carranza,Windows,Opera 12,Mexico City,Sin info
Iztapalapa,Android,Chrome Mobile 102,Mexico City,adwords
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords
Jojutla,Android,Facebook 362,Morelos,google2
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,rocket
Autlan de Navarro,Android,Chrome Mobile 102,Jalisco,adwords
Mexico City,Android,Chrome Mobile 102,Mexico City,adwords
Guadalajara,Android,Chrome Mobile 102,Jalisco,Sin info
Mexico City,Apple iPhone,GSA 213,Mexico City,adwords
La Paz,Android,Chrome Mobile 101,Baja California Sur,google2
Mexico City,Android,Chrome Mobile 102,Mexico City,adwords
Ciudad Juárez,Android,Chrome Mobile 102,Chihuahua,adwords
Sin info,Android,Chrome Mobile 93,Nuevo León,adwords
Mexico City,Android,Chrome Mobile 102,Mexico City,adwords
Gustavo Adolfo Madero,Android,Chrome Mobile 38,Mexico City,Sin info
Cuautitlán Izcalli,Android,Chrome Mobile 102,México,adwords
Venustiano Carranza,Android,Samsung Browser 17,Mexico City,rocket
Ciudad Benito Juarez,Android,Chrome Mobile 81,Nuevo León,adwords
Culiacán,Apple iPhone,Chrome Mobile 92,Sinaloa,adwords
Guadalajara,Android,Chrome Mobile 102,Jalisco,adwords
Hermosillo,Android,Chrome Mobile 102,Sonora,adwords
Tlalnepantla,Android,Chrome Mobile 102,México,rocket
Alvaro Obregon,Android,Facebook 362,Mexico City,rocket
Mexico City,Android,Chrome Mobile 101,Mexico City,adwords
Guadalupe,Android,Chrome Mobile 101,Nuevo León,adwords
Tlalpan,Android,Chrome Mobile 102,Mexico City,adwords
Guaymas,Android,Chrome Mobile 102,Sonora,adwords
Mexico City,Android,Chrome Mobile 102,Mexico City,adwords
Huautla de Jimenez,Android,Chrome Mobile 102,Puebla,Sin info
Monclova,Android,Yandex 21,Coahuila,Sin info
Monterrey,Apple iPhone,GSA 213,Nuevo León,adwords
Ecatepec,Android,Chrome Mobile 102,México,adwords
Querétaro City,Android,Chrome Mobile 102,Querétaro,adwords
Minatitlán,Android,Chrome Mobile 97,Veracruz,adwords
Mexico City,Apple iPhone,Mobile Safari 15,Mexico City,adwords
Apodaca,Android,Chrome Mobile 101,Nuevo León,adwords
Santa Maria Chimalhuacan,Android,Chrome Mobile 102,México,adwords
Tequixquiac,Windows,Chrome 102,México,adwords
Puebla City,Android,Chrome Mobile 102,Puebla,Sin info
León,Windows,Chrome 102,Guanajuato,adwords
León,Android,Chrome Mobile 102,Guanajuato,adwords
Puebla City,Android,Chrome Mobile 83,Puebla,rocket
Venustiano Carranza,Android,Chrome Mobile 101,Mexico City,adwords
Jiutepec,Android,Chrome Mobile 102,Morelos,adwords
Mexico City,Android,Chrome Mobile 102,Mexico City,adwords
San Juan de Sabinas,Apple iPhone,Chrome Mobile 102,Coahuila,adwords
Iztapalapa,Android,Chrome Mobile 102,Mexico City,adwords
